round_epochs,loss,acc,first_neuron,second_neuron,activation,batch_size,epochs
200,0.5514350844121645,0.749847541481769,20,20,<function relu at 0x7f4e00baed90>,100,200
500,0.46110507961831043,0.7846078794385504,60,20,<function tanh at 0x7f4e00baee18>,200,500
100,0.5426637461046167,0.7510062199654354,40,20,<function relu at 0x7f4e00baed90>,100,100
500,0.5397112334351785,0.7530186588203839,20,20,<function relu at 0x7f4e00baed90>,100,500
500,0.5133502615640942,0.764056592885278,40,20,<function relu at 0x7f4e00baed90>,100,500
500,0.5060130340076827,0.7644834739432885,60,10,<function relu at 0x7f4e00baed90>,100,500
100,0.5434972141040274,0.7506403230736788,60,20,<function relu at 0x7f4e00baed90>,200,100
200,0.5155632648581134,0.7607635048805671,60,20,<function tanh at 0x7f4e00baee18>,100,200
100,0.5427757622352648,0.7521648977875549,40,20,<function relu at 0x7f4e00baed90>,200,100
500,0.5476639098707591,0.7503963923335061,20,10,<function relu at 0x7f4e00baed90>,200,500
100,0.5596425568698339,0.7489937825789755,20,10,<function relu at 0x7f4e00baed90>,100,100
500,0.5253680385544701,0.7538724214307476,20,20,<function tanh at 0x7f4e00baee18>,100,500
100,0.5613436243536706,0.7489937833568384,20,10,<function tanh at 0x7f4e00baee18>,200,100
